,書名,類別,字數,大綱,狀態,評分
3754,鏡家事件系列,奇幻 懸疑 驚悚 獵奇 黑暗,73.1萬,鏡家三女鏡佐奈離奇自殺身亡，佐奈的哥哥，鏡家的三男鏡公彥卻收到妹妹被強暴的錄像帶，以及強暴犯們女兒的日常作息行程表，...,完結,10
3755,乘鞦韆飛翔的聖修伯里,群像 青春 女性視角,14.2萬,這是一座沒有小丑的馬戲團。 在曾遭受無情天災襲擊，如今已化為燈紅酒綠象徵的灣岸城市，傲然矗立著一座特技馬戲團，成員清...,完結,10
3756,草祭,奇幻 懸疑,12.2萬,旅人走進一塊土地，鑽過橋下沿著水渠爬上石階，眼前突然出現一片開闊的陌生原野，在那裡，—名逐漸幻化成獸的男孩，與被他殺死...,完結,9.7
3757,夢日記 你的夢中，我已不在。,懸疑 冒險 驚悚 黑暗,10.5萬,「ゆめにっき」（夢日記）是ききやま使用RPGMaker2003製作的免費遊戲，是一個在非常黑暗的氣氛下的夢中世界（設定）奔走的遊...,完結,10
3758,源氏物語,戀愛 女性視角,6.4萬,我名叫紫姬，母親大人生下我之後就過世了，現在我與外祖母大人一起生活。我的願望，是希望外祖母大人的病可以趕快康復，還有...,完結,10
3759,於夏月の海輕語的咒文,青春 群像,9.5萬,修一是在一座名為夢久島的島嶼上居住的高中二年級學生。儘管很清楚自己無法融入學校生活，但還是戴上「能樂面具」故作「平凡...,完結,9.8
3760,影法師,青春,13萬,才華橫溢、劍術高超，前途不可限量的男人為何在落魄潦倒中死去。從下級武士直至登上筆頭國家老地位的勘一追尋竹馬之友彥四郎...,完結,10
3761,少女禁區,驚悚 懸疑 戀愛,6.9萬,15歲的「我」的主人，是位有著數百年一遇的詛咒才能的傲慢美少女。「你就當我的玩具。到死為止都來取悅我吧」有著弒親傳聞的...,完結,10
3762,胚胎奇譚,奇幻 懸疑 冒險,11.4萬,只要踏上旅途就必定迷路！跟著和泉蠟庵去旅行，這一路上所見，究竟是人間還是地獄？是幻境還是魔境？ 「唉呀，怎麼又迷路了...,完結,9.9
3763,轉吧！企鵝罐,奇幻 懸疑 ,38.7萬,在沒有「父母」的家庭里，高倉三兄妹極力維持「家族」的形狀，直到措手不及的「死亡」，和有代價的「奇蹟」找上他們—— 患有...,完結,10
3764,星空的記憶AS,奇幻 校園 青春 戀愛,4.3萬,星空的記憶後日談，原作是2009年的某GALGAME、當年的黑馬…… 這本則是C81同人志（但作者和插畫家分別是原作遊戲的劇本家和原...,完結,10
3765,付喪神古道具店,奇幻,26萬,淺草的百年古道具店荻之屋裡住著一群付喪神，與一位貌似閻王的店主喜藏。 他們吵架鬥嘴卻也相安無事的平凡日常，卻因為出手...,完結,9.9
3766,僕僕仙人 千歲少女,奇幻 旅行 冒險,14.4萬,一日，神仙降臨在我眼前。卻是個辛辣又大膽的千歲……美少女？！ 遊手好閒、對凡事都漠不關心的消極青年王弁，終於被忍無可忍...,完結,9.9
3767,哀川潤的失敗,冒險 戰鬥,7.1萬,哀川潤（Aikawa Jun）人類最強的承包人，24歲。無論合法與否，只要給夠錢就接受任何委託的承包人。全能者，典型的主人公不死...,完結,9.9
3768,Story Seller 故事販賣者,戀愛,9.7萬,說故事的人和聽故事的人之間擁有最純真、最深摯的關係──一方沉醉地訴說；一方殷殷傾聽，並將故事珍藏於心底。 能與最喜愛自...,完結,9.5
3769,虐待狂刑警 蝴蝶效應殺人事件,懸疑 獵奇 大小姐,16.2萬,「話說，被害人有『幾分熟』呀──？」 在靜岡縣濱松市，連續發生了數起將人活活燒死的殘酷縱火殺人事件。被害人包括前黑幫成...,完結,10
3770,掬光,治癒,10.7萬,智子為了專心治療恐懼障礙而辭去了工作，和悠閑度過整日的小哲一起開始了遠離市中心的新生活。帶著些許的不安，智子被這隨意...,完結,10
3771,燃燒世界的女孩,科幻 懸疑 冒險,13.4萬,擁有強大力量，是否還能被稱為人類？ 與眾不同是詛咒，還是祝福？ 她是烈焰使者，一靠近，整個世界都開始燃燒！ 地下神秘...,完結,10
3772,伏 贗作.里見八犬傳,奇幻,17.2萬,一群被稱之為「伏」的歹徒，頻頻在江戶犯下兇惡的罪行。年紀雖小手腕卻十分高超的少女獵師浜路，與其兄浪人道節一同狩獵這些...,完結,10
3773,月色の扉,青春 戀愛 黑暗 女性視角,7.6萬,倘若月亮如燈一樣可以被點亮，只是稍微將世界改變一點的那樣的開關存在的話——夏天，和戀人小誠在一起的限定期限的新婚蜜月（...,完結,10
3774,小彩乃的神諭,奇幻 治癒,7.7萬,明天，一定會有好事發生吧 這是由僅僅是小學生就當上教主大人的小彩乃所引發的三個奇蹟的故事。 也是備受矚目的作家為您帶...,完結,9.9
3775,暗の部屋,黑暗,12.3萬,文庫註明:原是被出版社禁止出版的小說，經作者本人的整理製作成了同人遊戲，這是遊戲提取漢化文本。 精太郎被母親幽閉在用木...,完結,10
3776,偷貓賊與星期四的廚房,青春 戀愛,8.2萬,媽媽離家出走了，我們被遺棄了。爸爸一直不見。但是我沒關係。和弟弟孝醬兩個人一起生活。還有朋友的健一也支持我。直到有一...,完結,10
3777,獻給死者的音樂,奇幻 懸疑 驚悚,7.7萬,文庫注:本書作者山白朝子是乙一另一個筆名，為便於查找同一作者作品，文庫將作者名標記為乙一。 生來就聽力不佳的母親，一生...,完結,10
3778,終末の海,科幻 懸疑 驚悚 末日,13.1萬,一個接一個，陸續消失……這艘船，究竟……是什麼？第五回日本SF新人獎佳作入選作品鮮活的描寫少男少女的海上冒險旅程，評審委員...,完結,10
3779,里庭,奇幻 女性視角,14.3萬,日本一棟荒廢已久的英國別墅，是附近小孩的最佳遊戲場所，但對照美而言，這座庭園卻有著令她痛苦不堪的回憶，因某種機緣闖進...,完結,9.8
3780,來觀光吧！縣廳款待課,職場 戀愛,23.3萬,那一年，高知縣觀光部新成立的[款待課]正式上路。 正當所有人都士氣高昂，以為一切都進行得非常順利之際…… [你們這群人是白...,完結,10
3781,打工偵探,懸疑 冒險,76.1萬,激暑動作推理控注意啰——今夏最痛快的冷硬派！壞壞型男偵探團搞怪登場！ 我·冴木隆是個壞得正點的高二生，夜沖跑趴樣樣來，但...,完結,10
3782,19歲~Nineteen~,青春 戀愛,11.3萬,神明真是壞心眼。可是…… 為了在成人的同時也讓下面的成為大人，我一直秘藏著這至高無上的庸俗決心與熱情，就為了在此一戰。 ...,完結,10
3783,我的壞前輩,校園 青春 戀愛 女性視角,9.1萬,16歲的女高中生西表耶麻子搬到了一座小島，耶麻子很喜歡這座小島，但是最最最最重要的原因是可以再次見到喜歡的南前輩。重寫...,完結,9.9
3784,給小桃的信,奇幻 青春,7.7萬,小桃和爸爸吵了一架之後，還來不及和好，爸爸卻過世了…… 小學六年級的小桃，偶然間發現過世的爸爸留給自己的信，信上只寫了...,完結,10
3785,請記得我,青春 戀愛,9.4萬,沒有任何預兆，人們無來由地消失；沒有遺體，沒有葬禮，連存在過的痕迹也從所有人的記憶中消失。 有人說或許是老天爺不想再...,完結,9.8
3786,沼地森林,奇幻,18.4萬,最小的時子阿姨過世了，久美從她的遺物中繼承了傳家之寶──「米糠床」。為什麼漬菜缸會成為家傳的寶物？而米糠床竟是時子阿姨...,完結,10
3787,龍魚少女,奇幻 魔法 戰爭 戀愛,83.6萬,生長在綠洲小國「多姆奧伊」鍛鐵村莊的少女雪芙兒，從小到大唯一的夢想就是成為獨當一面的工匠，早日離開這個村莊。沒想到，...,完結,9.9
3788,天地明察,青春 職場,20.6萬,描寫了江戶時代的圍棋棋士、天文歷學者涉川春海的畢生生涯，在風格上顯得大氣恢弘。本作已經漫畫化與電影化。,完結,10
3789,家守綺譚,奇幻 青春 治癒,7.1萬,不可思議啊！人類早已遺忘的萬物靈性，卻存在於這部京都妖異奇談。 讀著讓人好愉快、讀了讓人想大喊：我要活在這樣的時代！ ...,完結,10
3790,狐的故事,奇幻,10.9萬,京都、古董店、狐面、長身妖怪、竹林、寺院、幻燈機、水聲…… 如同夢境和現實生活是由相同的元素組成，作者以相似的場景人物...,完結,10
3791,我和偵探伯爵,懸疑 冒險,9.9萬,用課本上和小說里學不到的實用性推理， 拽出「四張撲克牌失蹤案」的幕後真兇， 潛伏在你身邊的冒險魔方已經開始轉動…… 小...,完結,9.7
3792,負數與零,科幻 冒險 青春,17.4萬,對日本戰後和戰前的心態與生活描繪的栩栩如生，拋卻了戰爭時期，雖是60-70年代的小說，但是感覺現代感十分強。故事細膩動人，...,完結,9.9
3793,夜行觀覽車,懸疑 黑暗,14.1萬,城市裡最高級的住宅區發生一起命案——男主人弘幸在自己家中被殺害，而最大的嫌疑人竟是一向溫雅嫻淑的女主人淳子，更加蹊蹺的...,完結,10
3794,宵山萬花筒,奇幻,9萬,宵山——京都祇園祭的前夜。在這華美幽暗的千年古都里，祭典的熱鬧彷彿吞沒了整座城市。 兩姊妹在熙攘人群間失散了。年幼的妹...,完結,9.9
3795,打工族買屋記,青春,14.5萬,三流大學畢業的誠治，才就業三個月，就滿腹牢騷地離職，卻發現再找正職不容易，於是乾脆我行我素過起了沒錢打打工、平時賴在...,完結,9.7
3796,明治開化安吾捕物帖,懸疑,42.2萬,19世紀末，日本正值明治維新時期，人心不安、時局動蕩，紳士偵探結城新十郎聯合維新英雄勝海舟等人，在東京神樂坂一帶展開了...,完結,9.7
3797,羔羊的盛宴,懸疑 犯罪 黑暗,11.6萬,巴別會裡聚集著這樣一群年輕人。他們愛讀書、喜交友，他們具備真正的智慧、教養和風度，他們會告訴你不為人知的故事。,完結,10
3798,陰摩羅鬼の瑕,奇幻 懸疑,47.5萬,聳立在白樺湖畔的豪華洋館─「鳥城」當家．由良昂允伯爵即將第五度迎娶新娘。 在這之前，他已經連續四次在初夜翌日清晨失去摯...,完結,10
3799,為了N,懸疑 犯罪 女性視角,11.7萬,為愛犧牲，為愛算計，甚至……為愛殺人！ 這一切，全都只為了心中那個N？ 我為你做盡了一切，你並不知道，也不需要知道。 為...,完結,10
3800,英雄書,奇幻 懸疑 冒險 女性視角,30萬,友理子怎麼也不能相信，英雄般出類拔萃的哥哥大樹居然拔刀刺向同學！家裡彷彿塌了天，媽媽整日以淚洗面，爸爸天天外出尋找出...,完結,10
3801,艾比斯の夢,科幻 冒險 末日 人外,25.2萬,數百年後的未來世界，人工智慧（AI）機器人掌治了這個地球，人類文明被淡化模糊，過去的世界再也無人知曉。 一名四處搜集「...,完結,10
3802,後巷說百物語,奇幻 懸疑,32.4萬,「若見惠比壽像的臉孔轉紅，便將有駭人災厄侵襲。」 明治十年，一等巡查矢作劍之進，就某座島嶼的怪異傳說之真偽與友人起了...,完結,9.9
3803,少女,校園 青春 黑暗 懸疑 女性視角,11.1萬,最好的朋友之間，也有不能說出口的秘密…… 由紀和敦子從小就是最要好的朋友，曾經偷偷交換著無數的小秘密，只是，如今那些都...,完結,9.8
3804,戀文的技術,青春 宅文化,11.2萬,我不是廢柴男！ 即使我學無所成，即使我愛無所依， 即使我被眾人流放到海邊，即使我頹廢到底…… 但我依然要大聲呼喊—— 我...,完結,9.4
3805,圖書館戰爭,科幻 戰爭 戀愛,103萬,故事發生在公元2019年（正化31年），以反對破壞公序良俗為名制定的法案，已施行了30年。一位女生，為了追求心目中的「王子殿...,完結,9.6
3806,少女不十分,青春 犯罪 腦洞,12.7萬,很抱歉，這本書沒辦法寫齣劇情概要。 因為，這並不是一本小說。如果您想在文字的起承轉合間發現什麼伏筆與驚喜、或大快人心...,完結,9.9
3807,閃靈特攻隊,校園 異能 戰鬥 冒險,23萬,暗藏陰謀的神秘組織、覺醒的超能力者，我們的現實世界，正在崩壞…… 『我想要過不平凡的人生！』 你的請求，上天聽到了…… ...,完結,9.6
3808,DUEL LOVE -戀♡少年是勝利王子-,校園 青春 戀愛 女性視角,7.8萬,桂櫻學園——在這所學校夜晚的舊校舍中， 有舉辦一場秘密的格鬥大賽「B-1」！ 心儀的同班同學、優雅的學長、可愛的學弟全都參...,完結,9.2
3809,隙間的世界,青春 黑暗,3.3萬,原作是作者於1998年11月8日開始發表在自己主頁上的日記型網路小說，採用一日一更的方式連載。 因為從形式上講和普通的網路日...,完結,9.3
3810,阪急電車,青春 戀愛,9.8萬,阪急鐵路中，往梅田方向的寶塚線，以及與神戶線會合的今津線，兩條線路正好相反成一個「人」字型，而阪急寶塚車站正位於這個...,完結,10
3811,魔女的約定,青春 治癒,5.7萬,小舞還記得兩年前的春末初夏，她和魔女共度的那一個月。 屋子裡的氣味，還有光線、空氣的觸感，都如此輕柔地觸動記憶里每一...,完結,10
3812,乙一作品集,懸疑 驚悚 黑暗,56萬,乙一被譽為日本文壇新一代恐怖小說精英，17歲時憑藉《夏天．花火．我的屍體》榮獲第六屆JUMP小說．紀實小說大賞，一舉成名。...,完結,9.8
3813,不安的童話,奇幻 懸疑 女性視角,11.4萬,「就是這把剪刀殺了我！」強烈的衝擊划過頸部，鮮紅的色彩潑灑成一片……有人在我耳邊發出凄厲的尖叫聲。然而，在眼前逐漸模糊...,完結,9.8
3814,孤立者,校園 青春,20.4萬,我們是一群大學生，一群被孤立的大學生——孤立者，我們不與人交往，恐懼與人交往。我們相繼的進入了一間秘密基地。那是只屬於...,完結,10
3815,植物圖鑑,青春 戀愛,16.1萬,女孩要「花」也要「男孩」，甜愛濃度閃光120％!! 既然在男孩眼前，可以從天上掉下一位美少女。那麼在女孩子面前，又何妨憑空...,完結,9.8
3816,魔術的耳語,懸疑 黑暗,16.9萬,夜晚，一雙瘦削蒼白的手從報紙上剪下幾則看似毫不相干的社會新聞： 9月1日，加藤文惠在結婚前夕，從公寓六樓跳下身亡； 10...,完結,9.9
3817,雷轟,戰爭,8.8萬,在南北戰爭因英法的介入，而造成美國分裂成兩個國家的一百年後的北越上空，主角醐堂後備中尉一面思索著這場戰爭的意義，一面...,完結,9.9
3818,月の珊瑚,科幻 戀愛 人外,2.4萬,為了捨棄自己和人類而來到月球的男人，和想要成為人類的掌管月球資源的人形界面硅基生命體。 一段浪漫的故事就此展開，並且...,完結,9.9
3819,贖罪,校園 懸疑 青春 戀愛 黑暗,10.3萬,盂蘭盆節期間，小學放假，人去樓空，只有十歲的惠美理和四個女同學一起在校園的角落玩球。一個男「校工」來請求幫忙，單獨帶...,完結,10
3820,Another MONSTER,懸疑 驚悚 黑暗,15.6萬,漫畫改編小說。 曾經轟動德國的「約翰事件」，真相至今未明。其後，奧地利發生連串兇殺案， 一名當地記者有感於兇案與約翰...,完結,10
3821,幻色江戶歷,奇幻 懸疑,11.9萬,宮部美幸時代短篇小說的顛峰之作 酒批發商的大鋪子佛龕，竟然在年關將近的深夜著火了，慶幸的是，火及時撲滅了，只是虛驚一...,完結,10
3822,機動戰士高達0079外傳 殖民衛星...,科幻 機戰 戰爭,18.8萬,『機動戰士高達0079』的世界衍生出的原創故事。DreamCast3D影像遊戲小說版登場！ 宇宙世紀0079。吉恩公國與地球聯邦之間的「...,完結,10
3823,♀怪公寓,奇幻 治癒,70萬,我，稻葉夕士，條東商校一年級新生。人類。 升入寄宿制高中的我，終於可以擺脫一直以來寄人籬下的悲慘生活了！ 與大親友依...,完結,9.7
3824,開膛手傑克的百年孤寂,懸疑 犯罪 黑暗,11.5萬,一八八八年，英國倫敦發生了慘絕人寰的殺人事件。殺人魔「開膛手傑克」接連殺害了五名妓女，並將其剖腹後挖出內臟。他在公然...,完結,10
3825,兔子強尼,懸疑 歡樂向 腦洞,10.4萬,由黑手黨養大的兔子強尼，在主人死後回到兔子世界，成立了一家偵探社。某天，它被委託尋找一隻失蹤的兔子，卻意外尋獲主人死...,完結,9.8
3826,自衛隊三部曲,科幻 末日,83.6萬,故事背景架構在近未來（或可稱為平行世界）的曰本。 某天，直徑五百公尺的白色隕石狀物體以迅雷不及掩耳之勢墜落在地球上。 ...,完結,10
3827,守護天使,奇幻 懸疑 戀愛 人外,13.7萬,投資公司董事長掛井純一遭不知名人士殺害，成為幽靈的他喪失了生前最後兩年的記憶。為了尋找自己死亡的真相，他開始追蹤某部...,完結,9.7
3828,彩虹村的秘密,懸疑 冒險,9.4萬,上月秀介和二宮優希都是小學六年級學生。秀介後果舊像優希的媽媽一樣成為推理小說作家，而優秀的理想則是當一名出色的女刑警...,完結,9.7
3829,不眠的珍珠,戀愛 女性視角,14萬,餐廳服務生素樹比45歲的單身版畫家呋世子年輕將近20歲，呋世子不由自主地為他那雙骨感、纖細而富有線條感的手，以及帶著微微...,完結,9.8
3830,DDD,奇幻,61.3萬,由於現代社會結構的變遷，躁鬱症或對人恐懼症等精神疾病也越趨普遍；但近來因心理異常而引發生理異變的例子越來越多，一部分...,完結,9.8
3831,東京異聞,奇幻 懸疑 驚悚,17.7萬,帝都東京建都後29年，夜晚已從人類手中失守，變成「異種東西」的世界。東京街頭開始發生許多可怕又離奇的事件。全身被火焰包...,完結,9.9
3832,聖魔の血,奇幻 戰爭,162.7萬,在大災難造成文明毀滅的遠未來。異種智慧體——吸血鬼與人類持續鬥爭的黑暗時代。邊境城市伊什特萬的統治者——吸血侯爵咎勒，以...,完結,10
3833,流星慢舞,校園 青春 戀愛,11萬,閉上眼睛，可以看見那年璀璨的星空， 世界好像靜止了，彷佛聽見自己的心跳聲， 所以向流星悄悄許願， 不要遺忘那段一起慢...,完結,10
3834,交響情人夢,音樂 青春 戀愛,11.7萬,當史上最邋遢鋼琴女遇到古典樂王子。 出身音樂世家的千秋真一是桃丘音樂學院鋼琴系的大二學生，雖然琴藝出眾，又是眾學弟、...,完結,9
3835,朱 Aka,奇幻 異能 冒險 戀愛,17.9萬,在沙漠地——雷藍，坐落了一間宅邸。裡頭居住的是人稱「魯塔的眷屬」的少女阿拉米絲與守護她的青年卡登。阿拉米絲自幼就獲得魯...,完結,10
3836,純♡咖啡廳,職場 青春 戀愛 後宮,18.2萬,自半年前付之一炬之後，famille咖啡店終於在大型購物中心brickmall里租店重新開張。而身為新店長的仁，此時邂逅了兩位命運中...,完結,10
3837,舞-HiME,校園 異能 戰鬥 後宮 青梅竹馬,248.9萬,教會的鐘聲響了。 這口模仿國外著名教會製造的鐘，算得上是這所以小學，初中，高中一體化教育而聞名，且在曰本也首屈一指的...,完結,8.8
3838,鐵鼠の檻,奇幻 懸疑,54.6萬,穿著盛裝和服在荒涼雪地漫遊的吟歌少女，十三年來不曾長大？十多年前的一場大火，如何將僧人禁錮寺內十三年？向盲眼按摩師坦...,完結,9.8
3839,佰物語,校園 奇幻 青春 戀愛 後宮 人外,2.2萬,動畫版《化物語》中的角色共同演繹的Drama廣播劇CD《佰物語》出爐。 該廣播劇的內容將有西尾維新親自執筆完成。圍繞著青春的...,完結,10
3840,黑執事,奇幻 懸疑 ,15.6萬,黑執事小說,完結,9
3841,侵略少女與謊言庭院,校園 青春 戀愛,9.9萬,早川牧生是K中學的2年級學生，和青梅竹馬的裕貴、唯、琴美3人一直過著懶散的日子。直到某天，牧生被要求參與了尋找「命定的戀...,完結,9.2
3842,第十三種人格的恐怖,奇幻 腦洞 驚悚 懸疑,14.2萬,年輕姑娘賀茂由香里具有感情移入功能，可以聽到別人的心靈語言，也就是說她知道別人在想什麼。日本阪神大地震發生後，她作為...,完結,9.9
3843,向日葵不開的夏天,懸疑 黑暗,17.7萬,放暑假的前一天，由於同班同學S沒來上學，小學生「我」被導師吩咐在放學後拿東西去給S，我因此發現S弔死在家中。 我慌忙找了...,完結,9.8
3844,戀空,校園 青春 戀愛 黑暗 ,35.5萬,引爆手機小說熱潮的是2005年12月在魔法島上登場的《戀空～哀傷戀物語》。 這部作品根據作者美嘉的親身經歷寫成。 細膩的感...,完結,10
3845,Fate Stay Night,懸疑 奇幻 魔法 戰鬥 大逃殺 後宮,204.1萬,聖杯，那是傳說中可實現持有者一切願望的寶物。聖杯戰爭，則是為了使這聖杯出現並將其奪取的殺戮的儀式。 由聖杯選擇出的七...,完結,10
3846,看著月亮說著謊話,青春 戀愛 女性視角,10萬,喜歡是什麼？愛又是什麼意思？竹宮輝夜，十六歲，不懂這樣的感情。 不論是家人或朋友或男朋友，誰也不肯告訴我。 明明就沒...,完結,10
3847,加奈～妹妹～,青春 戀愛 ,6.9萬,男主角「藤堂隆道」的妹妹「加奈」，由於身體病弱的緣故，因此從小時候開始就不斷重複著出院住院的生活，因此父母對妹妹比較...,完結,10
3848,柳生忍法帖,奇幻 戰鬥 復仇,7.5萬,連誅四名劍鬼之後，柳生十兵衛與堀氏七女殺進會津。會津七槍的師父──蘆名銅伯──號稱擁有不死身的怪物，他和高僧南光坊天海究...,完結,9.8
3849,龍眠,奇幻 懸疑,20.8萬,在一個颱風的夜晚，一名中年男人拿著手電筒、冒著風雨尋找七歲的兒子，而這名七歲的小男孩撐著一把黃色的傘尋找莫尼卡，但是...,完結,10
3850,骨王,科幻 異能 戰鬥,16.2萬,海翔和表兄葉平一起追查犯人。但是以此為分界線，圍繞著他的日常生活卻一下子崩潰了。在街頭巷尾播放的熱門歌曲《骨王》中出...,完結,9.9
3851,姑獲鳥の夏,奇幻 懸疑,49.4萬,婦產科醫院久遠寺家族的女兒懷胎20個月始終無法生產，更詭異的是，她的丈夫在一年半前居然在宛如密室的房間里，如煙一般地消...,完結,10
3852,銀の鎮魂歌,戀愛 ,8.3萬,遠自太古而起，一切的故事，就是緣於人與人的相遇。 「善」與「惡」，「歡樂」與「絕望」，「愛」與「恨」，一切一切都是從...,完結,9.7
3853,吊線木偶症候群,科幻 懸疑 女性視角,6.5萬,推理作家乾久留美在2001年的作品。講的是一個女高中生，在某時刻忽然發現自己的身體被另一個人的靈魂所控制，到處走在走去，...,完結,9.9
3854,蒼穹の戰神,科幻 戰爭 機戰,3.7萬,真壁一騎是個生長在對日本而言十分鄉下的龍宮島上的少年──對他來說，像這樣的和平是普通到不能在普通的狀況。 但當由硅所構...,完結,9.6
3855,波動干涉,,42萬,時間的潮流不停演進，世界也隨之改變。而城市也是。大樓的陰影分割了蒼空，吞食了天際，人們的距離縮短了，心卻變遠了。不甘...,完結,9.7
3856,白夜的吊鐘,懸疑 冒險 復仇,15.3萬,旅居巴黎的自由傭兵古鄉聖司，在傭兵組織老闆歐索普的仲介下接受了一份工作。 內容是保護為使北極海周邊溫暖化而建設的「白...,完結,10
3857,貝維克傳說,戰爭 鬥智,23.5萬,以維利亞王國為中心的貝維克同盟，在面臨拉茲帝國來勢洶洶的武力威脅下，正處於劣勢。 希農公國的公爵之子。理斯奉盟約之命...,完結,9.9
3858,女神側身像,奇幻 冒險 戰爭,25.8萬,為了應對即將到來的神界戰爭，無數戰魂被傳送到了統治眾神之地阿斯加爾德，他們真正的敵人到底是誰？在戰爭陰影的籠罩下，女...,完結,9.6
3859,Angel voice,奇幻 戰鬥,1.6萬,"奈須放在青本上的小說,雖然世界觀和設定與其他作品是相同的,但是年代背景是幾百年後的遠未來.基本上是各種超級怪物大亂斗呃",完結,10
3860,巷說百物語,奇幻 懸疑,59.7萬,那時候，魃魆魊魈亂舞，魑魅魍魎橫行。 嗜奇聞怪談、旁門左道如命的山岡百介遊走於妖光四射的世間，邂逅巧於騙術的又市、擅...,完結,9.8
3861,伯爵大人的♡情生活,奇幻 ,42.1萬,老舊的公寓「櫻庄」的管理人比之坂明，家裡飛來了一個黑乎乎的不速之客——吸血蝙蝠克萊文伯爵愛德華（愛稱艾迪）。他在舔過明...,完結,10
3862,復仇の虎,奇幻 冒險 復仇,7.3萬,在遙遠的過去，歐亞大陸中央有一面巨大的湖泊，那裡住著一群可以變身為動物，名為「哈穆蘭沐魯」的種族。歷史更迭，湖泊逐漸...,完結,10
3863,妹妹公主,校園 歡樂向 後宮 ,7萬,15歲的聰明國中生海神航竟然高中落榜了……真是跌破大家眼鏡……當他還在懊惱不已時，卻突然莫名其妙被送進位在希望之島上的星見...,完結,9.9
3864,青梅竹馬,青春 戀愛 青梅竹馬,3.4萬,經典短篇BL小說 那一幕，就好象是分布在空中的無數的光粒，都一起嘻嘻哈哈的笑了起來一樣。 好刺眼。實在是好刺眼。只是，...,完結,9.4
3865,蟲師,奇幻 冒險,8.5萬,人與蟲以及這個世界重疊之時，蟲師ginko現身了！ 這要從好久好久以前說起──和看慣的動植物完全不一樣、超出想像的生物們。這...,完結,9.9
3866,在世界中心呼喚♡,青春 戀愛,6.9萬,在同一所高中就讀的朔太郎和亞紀是一對純情的戀人，雙方約定此生將永不分離。 不料上天弄人，正當兩人準備赴澳大利亞作修學...,完結,10
3867,月陽炎,青春 戀愛 後宮,8萬,大正末期，嘉神悠志郎為了繼承父親的職務，而展開一場向神職邁進的修行。有一天，從有淵源的有馬神社捎來一封信，信中提到他...,完結,10
3868,銀環計畫,科幻,1.4萬,冰山陸續往大洋漂流，附近的海流溫度下降，一接觸溫熱的大氣就產生霧氣、亂流與不穩定的雨量。海路與空路的安全航道明顯縮小...,完結,9.6
3869,亞普菲蘭特,冒險 青春 戀愛,12.4萬,在一個地處中歐的小國家「亞普菲蘭特」里，一個天大的叛國陰謀正醞釀著…… 威魯，一個14歲的少年，從小失去至親，以扒竊為生...,完結,9.8
3870,銀河英雄傳說外傳,科幻 戰鬥 機戰,50.8萬,帝國開基先祖魯道夫大帝即位後四八六年的今年，宇宙歷七九五年，萊因哈特十九歲。 在好友齊爾菲艾斯的輔佐下，於第三次提亞...,完結,9.8
3871,銀河鐵道999,科幻 冒險 戀愛,18.9萬,從前——不！未來的二十一世紀，有一個男孩子，名叫星野鐵郎。 他和媽媽一起，住在日本一座荒山下的野地里，過著貧苦的生活。 ...,完結,10
3872,銀河鐵道の夜,科幻,3.1萬,一列閃爍著天光的銀河鐵道列車拔地而起，飛過一片片熠熠燃燒的天火，飛過被鑽石、露水和所有美麗東西的燦爛光芒所照亮的銀河...,完結,9.8
3873,xxxHOLiC,奇幻 冒險 戰鬥,10.6萬,"『不,幽靈是存在的哦.我們能看的見它,也能摸得到它,還能聽到它的聲音。但它又是不存在的，所以就無法以科學來語論它們。不過...",完結,9.9
3874,消極的快樂、電鋸的邊緣,科幻 青春 戀愛,10.9萬,山本陽介是個極為平凡的高中生，每天被課業及各種煩人的事物追得團團轉，平日的生活就像只無頭蒼蠅找不到目標。他起做些事情...,完結,10
3875,星の夢,科幻 戀愛 人外,8.1萬,由於30年前的一場戰爭，現在整個地球都處於「劫後餘生」、「苟延殘喘」的狀態；在細菌戰後被遺棄的「封印都市」中出場的，就...,完結,10
3876,殺死龍的方法,奇幻 魔法 冒險 戰鬥 ,60萬,在王室委託的消滅幻獸任務中，美貌的原聖騎士「閃光」亞肯傑爾遇到了一位身為幻獸獵人的少年——「血紅」烏蘭波克，在與同伴們...,完結,9.4
3877,屍鬼,驚悚 懸疑 黑暗,102.1萬,與世隔絕的外場村只有三千多名居民，至今仍然保留著古老的習俗。駭人聽聞的神秘事件在酷熱的夏天揭開序幕，三具腐屍橫躺在人...,完結,9.7
3878,尼羅河女兒,穿越 戀愛,15.3萬,專攻考古學的美國富家小姐凱羅爾來到古老神秘的埃及。她父親的公司挖掘了一座古墓，凱羅爾走進古墓後，在年輕時就死去的法老...,完結,9.8
3879,美麗人生,青春 戀愛,14.8萬,沖島柊二，一個才華尚未被肯定的美髮師，他有實力，也有品味，但就是不懂得交際手腕。 町田杏子，一個品書館的管理員，需以...,完結,10
3880,夢幻都市,奇幻 懸疑,11.3萬,北海道附近，有一座日本最大的夢幻休閑都市『烏拉爾』。 科幻作家．相馬邦生受人之託到此演講，於是帶著女兒葉月來到了烏拉...,完結,9.9
3881,魔界轉生,穿越 奇幻 戰鬥,7.2萬,宮本武藏，早已死去的劍豪復活了！但不是作為自己，而是作為魔人！不再壓抑任何慾望的魔界轉生人！前朝遺臣的瘋狂復仇，最終...,完結,9.5
